country,county
Belize,NA
Canada,Abitibi-Témiscamingue R
Canada,City of Kawartha Lakes
Canada,City of Ottawa
Canada,City of Toronto
Canada,Co. of Forty Mile No. 8
Canada,Co. of Warner No. 5
Canada,Dufferin Co
Canada,Durham R.M
Canada,Elgin Co
Canada,Essex Co
Canada,Haliburton Co
Canada,Hastings Co
Canada,Kenora Dist
Canada,Kent Co
Canada,Kootenay Boundary R.D
Canada,L.G.D. Pinawa
Canada,Lambton Co
Canada,Laurentides
Canada,Le Domaine-du-Roy
Canada,Leeds and Grenville United Co
Canada,Lethbridge Co
Canada,M. Clanwilliam-Erickson
Canada,M. of Glenboro – South Cypress
Canada,Manitoulin Dist
Canada,Maple Creek Rural Municipality
Canada,Mauricie
Canada,Montérégie
Canada,Muskoka D.M
Canada,Nipissing Dist
Canada,Norfolk Co
Canada,Northumberland Co
Canada,Okanagan
Canada,Ottawa-Carleton
Canada,Outaouais R
Canada,Parry Sound Dist
Canada,Peterborough Co
Canada,Pontiac RCM
Canada,Prescott and Russell United Counties
Canada,R.M. Armstrong
Canada,R.M. Cornwallis
Canada,R.M. Glenboro-South Cypress
Canada,R.M. Morris
Canada,R.M. Piney
Canada,R.M. Portage la Prairie
Canada,R.M. Reynolds
Canada,R.M. Rhineland
Canada,R.M. Ritchot
Canada,R.M. Rockwood
Canada,"R.M. Rockwood, St. Andrews"
Canada,R.M. St. Andrews
Canada,R.M. Stanley
Canada,R.M. Tache
Canada,R.M. Whitemouth
Canada,R.M. of Ritchot
Canada,Rainy River Dist
Canada,Renfrew Co
Canada,Simcoe Co
Canada,Thompson-Nicola R.D
Canada,Thunder Bay Dist
Canada,Timiskaming Dist
Canada,NA
Mexico,NA
USA,Adams Co
USA,Alachua Co
USA,Ashe Co
USA,Asotine Co
USA,Bastrop Co
USA,Brazos Co
USA,Brewster Co
USA,Cache Co
USA,Calvert Co
USA,Cayuga Co
USA,Champaign Co
USA,Clarke Co
USA,Cochise Co
USA,Coconino Co
USA,Comanche Co
USA,Crawford Co
USA,Culberson Co
USA,Curry Co
USA,Dane Co
USA,Delta Co
USA,Douglas Co
USA,Eddy Co
USA,El Dorado Co
USA,Erie Co
USA,Fond du Lac Co
USA,Franklin Co
USA,Garland Co
USA,Geary Co
USA,Glades Co
USA,Graham Co
USA,Grant Co
USA,Green Co
USA,Greene Co
USA,Guadalupe Co
USA,Hardy Co
USA,Hettinger Co
USA,Highlands Co
USA,Hocking Co
USA,Inyo Co
USA,Jefferson Co
USA,Jersey Co
USA,Jessamine Co
USA,Lafayette Co
USA,Lamar Co
USA,Larimer Co
USA,Latimer Co
USA,Lewis Co
USA,Marion Co
USA,Mason Co
USA,Middlesex Co
USA,Milwaukee Co
USA,Missoula Co
USA,Mono Co
USA,Montgomery Co
USA,Newaygo & Oceana Co
USA,Ogle Co
USA,Oneida Co
USA,Orange Co
USA,Pima
USA,Pima Co
USA,Posey Co
USA,Pottawatomie Co
USA,Presidio Co
USA,Prince George's Co
USA,Prince William Co
USA,Putnam Co
USA,Roosevelt Co
USA,Sabine Co
USA,Sacramento Co
USA,San Bernardino Co
USA,Santa Cruz Co
USA,Sauk Co
USA,Schuyler Co
USA,Seneca Co
USA,Smyth Co
USA,St. Louis Co
USA,Story Co
USA,Taylor Co
USA,Tippecanoe Co
USA,Tompkins Co
USA,Walker Co
USA,Washburn Co
USA,Washington Co
USA,Waukesha Co
USA,Williamson Co
USA,NA
NA,NA
